studentid,name,email,subject,score,exam_date
1001,Aman,aman1001@test.org,Computer,84,2025-05-09
1002,Rita,rita1002@test.org,Geography,93,2024-10-24
1003,Anita,anita1003@test.org,Computer,82,2024-11-19
1004,Neha,neha1004@test.org,Computer,70,2024-10-29
1005,Aman,aman1005@example.com,Computer,48,2024-12-31
1006,Rohit,rohit1006@mail.com,Geography,82,2025-01-01
1007,Kiran,kiran1007@example.com,History,99,2024-10-23
1008,Neha,neha1008@mail.com,English,52,2024-11-24
1009,Raj,raj1009@mail.com,Computer,96,2024-07-12
1010,Aman,aman1010@mail.com,History,83,2024-11-27
1011,Vikram,vikram1011@mail.com,History,96,2025-01-19
1012,Rohit,rohit1012@test.org,Math,60,2024-09-14
1013,Rita,rita1013@test.org,Math,61,2024-07-04
1014,Vikram,vikram1014@test.org,Computer,98,2025-02-22
1015,Anita,anita1015@example.com,English,48,2025-05-02
1016,Neha,neha1016@mail.com,Science,87,2025-04-04
1017,Raj,raj1017@mail.com,Geography,78,2025-04-12
1018,Kiran,kiran1018@test.org,English,49,2024-10-01
1019,Anita,anita1019@mail.com,Math,70,2024-12-23
1020,Anita,anita1020@example.com,Geography,90,2025-05-14
1021,Rohit,rohit1021@mail.com,Geography,87,2025-04-07
1022,Kiran,kiran1022@example.com,English,49,2024-09-25
1023,Rohit,rohit1023@example.com,Geography,51,2024-09-08
1024,Priya,priya1024@mail.com,Geography,85,2025-06-26
1025,Rita,rita1025@mail.com,Math,96,2024-09-24
1026,Anita,anita1026@example.com,English,40,2024-07-24
1027,Rohit,rohit1027@mail.com,English,65,2024-09-24
1028,Priya,priya1028@test.org,Computer,58,2025-06-14
1029,Anita,anita1029@mail.com,English,50,2025-04-21
1030,Priya,priya1030@example.com,English,75,2025-04-09
1031,Simran,simran1031@test.org,History,59,2024-11-19
1032,Priya,priya1032@example.com,Science,91,2024-11-28
1033,Anita,anita1033@mail.com,English,71,2024-08-30
1034,Vikram,vikram1034@test.org,English,97,2024-10-08
1035,Priya,priya1035@test.org,Math,90,2024-09-11
1036,Kiran,kiran1036@example.com,Geography,76,2024-11-12
1037,Rita,rita1037@example.com,Science,42,2024-09-20
1038,Neha,neha1038@test.org,Computer,83,2024-09-09
1039,Vikram,vikram1039@example.com,Math,60,2025-02-07
1040,Priya,priya1040@test.org,Computer,46,2024-11-14
1041,Simran,simran1041@example.com,History,96,2025-05-24
1042,Anita,anita1042@test.org,English,56,2024-08-19
1043,Raj,raj1043@test.org,Math,70,2024-08-19
1044,Vikram,vikram1044@test.org,Geography,74,2025-04-07
1045,Rita,rita1045@mail.com,Science,45,2024-09-01
1046,Rita,rita1046@test.org,Geography,47,2025-06-03
1047,Simran,simran1047@test.org,Math,71,2025-04-02
1048,Simran,simran1048@example.com,English,48,2024-11-17
1049,Raj,raj1049@example.com,Geography,41,2025-06-24
1050,Priya,priya1050@test.org,Science,43,2025-06-20
1051,Rita,rita1051@test.org,English,50,2024-10-08
1052,Anita,anita1052@example.com,Science,83,2025-04-20
1053,Kiran,kiran1053@test.org,Math,91,2025-04-06
